MajorityClassSize,MinorityClassSize,NumberOfClasses,NumberOfBinaryFeatures,NumberOfFeatures,NumberOfInstances,NumberOfInstancesWithMissingValues,NumberOfNumericFeatures,attr_conc.mean,attr_conc.sd,attr_ent.mean,attr_ent.sd,attr_to_inst,cat_to_num,cohesiveness.mean,cohesiveness.sd,cor.mean,cor.sd,cov.mean,cov.sd,eigenvalues.mean,eigenvalues.sd,g_mean.mean,g_mean.sd,h_mean.mean,h_mean.sd,inst_to_attr,iq_range.mean,iq_range.sd,kurtosis.mean,kurtosis.sd,mad.mean,mad.sd,max.mean,max.sd,mean.mean,mean.sd,median.mean,median.sd,min.mean,min.sd,nr_attr,nr_bin,nr_cat,nr_cor_attr,nr_inst,nr_norm,nr_num,nr_outliers,num_to_cat,one_itemset.mean,one_itemset.sd,range.mean,range.sd,sd.mean,sd.sd,skewness.mean,skewness.sd,sparsity.mean,sparsity.sd,t2,t3,t4,t_mean.mean,t_mean.sd,two_itemset.mean,two_itemset.sd,var.mean,var.sd,wg_dist.mean,wg_dist.sd,did
150,120,2,3,12,270,0,2,0.031786358249202486,0.03540609263816775,1.6467194570283366,0.7676955376346029,0.04814814814814815,0.0,63.43055555555556,5.555287064970228,0.15752563963874347,0.12068846008311304,6.945217858693693,23.63808292899519,278.3801455745138,742.7174537124818,44.998661777784555,79.17267404290226,44.258075552895335,77.85016388827115,20.76923076923077,11.2,19.45901676173114,0.06803056493599358,1.8737065383303537,7.73232923076923,14.15952162426781,82.4,162.4527008085738,46.03603988603989,80.32965555950523,45.79230769230769,79.72856516057531,25.0,43.282020901678486,13,3,0,0.01282051282051282,270,0.0,13,7,,0.26,0.18156707377377537,57.400000000000006,122.40525587844121,8.439216804342829,14.980756959484019,0.42223077005134496,0.863717988805393,0.23480930043688855,0.19991442921684124,0.04814814814814815,0.011111111111111112,0.23076923076923078,45.7863722697056,79.70482722415079,0.3918799646954987,0.14514476481166327,278.38014557451356,737.4492574676768,1.4842203347097433,0.146068608227188,53
225,126,2,2,33,351,0,32,0.12271097029029628,0.08801446158588005,2.504028746384419,0.6508889657833035,0.09686609686609686,0.0,73.24821937321937,24.07008361829551,,,0.06388193661829542,0.06059302957946943,0.2725296655418529,0.5197015860196873,,,,,10.323529411764707,0.6018913235294118,0.2679445485043411,0.22231408963722354,1.1991455417275148,0.3887721686470589,0.19159807883584645,0.9705882352941176,0.17149858514250882,0.24769699765376238,0.2478423649039251,0.3210052941176471,0.3379137083252961,-0.9411764705882353,0.23883257361061289,34,1,0,0.0926916221033868,351,1.0,34,20,,0.16113744075829384,0.09217788210599312,1.911764705882353,0.3788057036804224,0.5104205012204398,0.1111945652387236,-0.5624438777436053,0.6411562190203759,0.04511218394896291,0.1890503478331077,0.09686609686609686,0.06837606837606838,0.7058823529411765,0.3006294814608308,0.3079774820343841,0.2707551105548603,0.09829121558310641,0.27252966554185293,0.08203703161123435,1.7961220965181872,0.5339562980099386,59
50,50,3,0,3,150,0,4,0.20922243392447848,0.11995019623784713,2.279010448380773,0.05742641939520074,0.02666666666666667,0.0,67.12,5.359298511644294,0.5898157206151017,0.3419146932612417,0.5943226696495153,0.5603071918597572,1.1423228187919454,2.0571082183686595,3.221721558753249,2.0245680790555647,2.9762900261362306,2.1489374656636855,37.5,1.7000000000000002,1.2754084313139324,-0.7953739972959732,0.7583578194103905,1.074885,0.6067802009789046,5.425000000000001,2.4431878083083722,3.4636666666666667,1.9190179973293826,3.6125000000000003,1.919364043982624,1.8499999999999999,1.8083141320025125,4,0,0,0.5,150,1.0,4,1,,0.2,0.04932290074612092,3.5750000000000006,1.6500000000000001,0.9473104002482852,0.5714610798918623,0.06603417597803579,0.2988639370617243,0.0287147773948895,0.011032357470087495,0.02666666666666667,0.013333333333333334,0.5,3.469722222222222,1.905054004829488,0.32,0.08469447657560737,1.1423228187919463,1.3312910958702293,0.4621899272805098,0.05621875033140755,61
41,4,7,15,15,101,0,0,0.13131100483342698,0.17751998131424218,0.7611227951505602,0.3740142077210004,0.15841584158415842,0.0,16.701732673267326,2.985575755666197,0.2623983515449682,0.20604575738455583,0.07359075907590759,0.08590005413667508,0.43878712871287107,1.0854012530591937,0.0,0.0,0.0,0.0,6.3125,0.625,0.6191391873668903,-0.17548152671412232,2.469892896283559,0.185325,0.7412999999999998,1.4375,1.75,0.5860148514851485,0.6458726691496055,0.625,1.02469507659596,0.0,0.0,16,15,0,0.13333333333333333,101,0.0,16,8,,0.5161290322580645,0.26157786167366187,1.4375,1.75,0.533367769491667,0.40570064652694227,0.38905546242458533,1.303340782930282,0.4739583333333333,0.08416666666666667,0.15841584158415842,0.07920792079207921,0.5,0.5717213114754098,0.7193932516655748,0.5011135857461024,0.18644837930924466,0.43878712871287134,0.9871013204140003,1.6073618983132922,0.33202838719458827,62
25702,13664,2,0,8,39366,0,0,0.012330844402072308,0.018997860097587128,1.537950860267481,0.03261342375205948,0.00022862368541380886,,,,0.10563794232828089,0.15068639047921986,0.02460422961104466,0.03515155059721783,0.23141340148769807,0.18748418579064396,0.0,0.0,0.0,0.0,4374.0,0.9473684210526315,0.22941573387056174,-1.6490741283300636,0.4154042580953702,0.0,0.0,1.0,0.0,0.3758653607040005,0.05796469165830133,0.0,0.0,0.0,0.0,9,0,9,0.05263157894736842,39366,0.0,0,1,0.0,0.3333333333333333,0.08464427147433043,1.0,0.0,0.48068959259173455,0.019246102306868563,0.5267055955877973,0.27863063428660056,0.33331639781531813,0.0,0.0004826500025402632,0.00040644210740232686,0.8421052631578947,0.29311243816569366,0.09660618339630357,0.4444444444444444,0.05456490725325266,0.23141340148769812,0.017567568210174883,,,137
80409,50663,2,0,15,131072,0,0,0.16237506205664554,0.17020479499691982,0.9535737797166397,0.09437559329132005,0.0001220703125,,,,0.31856311072340115,0.22607369377429373,0.07519407249701905,0.05541813010276883,0.235374541714222,0.3857107740047259,0.0,0.0,0.0,0.0,8192.0,0.9411764705882353,0.242535625036333,-1.6469980085450744,0.9140296714986972,0.0,0.0,1.0,0.0,0.5343048993278953,0.11954530387657436,0.7058823529411765,0.46966821831386213,0.0,0.0,16,16,16,0.2426470588235294,131072,0.0,0,1,0.0,0.5,0.1253227821027412,1.0,0.0,0.4840562906084076,0.03362368679876617,-0.17069173791059516,0.5866185455258794,0.4999961852736303,0.0,0.00012969970703125,9.918212890625e-05,0.7647058823529411,0.5522159425796666,0.1859049757827623,0.5,0.19039437496652772,0.23537454171422195,0.028745377353085962,,,143
1669,1527,2,0,35,3196,0,0,0.022589835324954295,0.047654871207076566,0.5901482912442314,0.33852165095203474,0.011264080100125156,,306.53520025031287,48.729891526050395,0.08564411274580923,0.10816677753366857,0.011233690969387273,0.01881314907307101,0.13036745235555558,0.1595866765079188,0.0,0.0,0.0,0.0,88.77777777777777,0.34210526315789475,0.48078290821993186,105.21100910497158,517.117323381997,0.0,0.0,1.0,0.0,0.2686581911600026,0.2606573616055755,0.18421052631578946,0.3928594520631916,0.0,0.0,36,35,36,0.01422475106685633,3196,0.0,0,25,0.0,0.49315068493150693,0.348823180301772,1.0,0.0,0.3320086451196437,0.14381228878554012,4.108820349082991,9.629958902688383,0.4952124268243203,0.027786471917927325,0.011889862327909888,0.007509386733416771,0.631578947368421,0.2248092859886944,0.33379824754058646,0.5,0.24335141106153718,0.13036745235555558,0.08510043516743938,2.9002493874103252,0.21794802193397203,3
288,49,3,0,3,625,0,0,-6.250002346150688e-08,0.0,2.3219280948873626,0.0,0.0064,0.0,241.808,24.13086849043283,0.0,0.0,0.0,0.0,2.003205128205128,0.0,2.6051710846973517,0.0,2.1897810218978107,2.5639502485114184e-16,156.25,2.0,0.0,-1.3054356480000002,0.0,1.4826,0.0,5.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,4,0,0,0.0,625,0.0,4,0,,0.20000000000000004,2.8476619731297836e-17,4.0,0.0,1.4153462926807447,0.0,0.0,0.0,0.1987179487179487,0.0,0.0064,0.0064,1.0,3.0,0.0,0.32,0.0,2.003205128205128,0.0,0.7709907678719828,0.046239865143833984,11
200,200,10,0,215,2000,0,108,0.03469654307390435,0.06271614059717619,3.524252637219526,0.12456779410459584,0.108,0.0,108.92280859375,19.638227554393765,0.2496260700066088,0.19686925473896774,724.1860985179499,1725.1678665991856,4581.5430571304205,28058.779382923625,308.9061670678106,348.44912811285946,304.2240827859103,345.87727104376927,9.25925925925926,69.26041666666667,66.23977021722096,-0.3200812124026754,0.5393288166895035,49.47147916666666,47.52937216736205,474.6111111111111,480.6303193473847,318.27038888888893,346.74519592263925,318.1134259259259,348.94240193106043,188.0601851851852,237.6882090743855,216,0,0,0.11119724375538328,2000,1.0,216,131,,0.08524072612470403,0.017269863542029966,286.5509259259259,267.6121754783495,49.581313183956304,46.185625019164064,0.02751918990868509,0.4249703134101653,0.018878346760377675,0.018914304438202193,0.108,0.006,0.05555555555555555,317.9185185185185,348.0111192226217,0.15595237908973275,0.022089553825316677,4581.543057130418,5584.125415981536,3.887597958135052,0.2732882351391642,12
200,200,10,0,75,2000,0,76,0.009405797328484974,0.004692835932167315,3.584956441221679,1.4726575779465782e-06,0.038,0.0,336.64834375,50.71237428524876,0.14589066038128862,0.10352045337399218,0.0007167773171461904,0.0009834523779476113,0.005520282684969967,0.012127960943888261,0.11176989956186348,0.05890530497567272,0.08415997438098963,0.04566589766420451,26.31578947368421,0.0959872591118421,0.053104807527475296,0.11259554101330853,0.6362908601643319,0.06997288616407896,0.03795016888764272,0.3819513794736842,0.14996471638605519,0.13203208401769737,0.06846331864492629,0.1262276590789474,0.0698719976883466,0.003192156710526316,0.002479226632292895,76,0,0,0.00631578947368421,2000,0.0,76,69,,0.08333333333333333,0.00024157975019515669,0.37875922276315793,0.14835346525342397,0.0671079516668835,0.03209926657758911,0.5438839049092433,0.2488123124334294,1.6084735963029035e-06,5.295566083550239e-07,0.038,0.025,0.6578947368421053,0.12739265661875,0.06888200686591843,0.15277777777777773,0.0049167195723847715,0.005520282684969967,0.0058788737976118435,2.10344770785716,0.17748559141909265,14
200,200,10,0,63,2000,0,64,0.00900106122944302,0.002709770907423727,3.5849565906921574,1.0831206646577665e-06,0.032,0.0,481.34025,21.77744028266712,0.10720046604904641,0.08336768154338597,0.5524602893457023,0.9243396345741863,6.4915886772050735,13.013808957019451,,,,,31.25,2.9604338379296875,2.05382807546251,-0.0514900121007718,0.25343786689836234,2.182102207215,1.4923378033998846,6.893724891875,3.9036383210531334,0.05308473924664062,0.7394593795167501,0.04568855382812502,0.7425866299063965,-6.7565145228125,3.3739291081874154,64,0,0,0.000496031746031746,2000,28.0,64,61,,0.08333333333333333,0.00023860379040613686,13.6502394146875,7.023282595502795,2.1526628287026788,1.3737240029177478,-0.00427923625665644,0.1644583897068151,1.517067369877409e-06,5.363521576058539e-08,0.032,0.018,0.5625,0.0462514596875,0.7426381825565573,0.1527777777777778,0.0042952274875773,6.491588677205074,9.75555816406087,1.7162862927059752,0.08252486410870462,16
200,200,10,0,5,2000,0,3,0.24982278901589208,0.2026091096762923,2.6010475566519244,1.1132058016888198,0.003,0.0,895.54225,81.3124122236471,0.5727573352912972,0.32130961022416704,6498.553949737279,23504.324454505186,2353407.4348732405,5764630.13224905,860.9859275544521,2033.4180227197583,695.1521016090242,1628.2990501698819,333.3333333333333,1006.6428627587501,2443.6534248376815,-0.540357257851879,0.412796555442899,708.3668575965311,1721.292533755333,2969.839272355,7154.2448875066675,1052.6997316402774,2500.4761690402534,901.6869907466667,2133.7224857773595,256.69782190666666,580.8272604590048,6,0,0,0.7333333333333333,2000,0.0,6,1,,0.125,0.11320988792240833,2713.141450448333,6574.397169899063,630.9070825140196,1531.8082209363765,0.5307700993518086,0.36634179516513604,0.1069700579873133,0.13428191820603494,0.003,0.0005,0.16666666666666666,960.9828335317335,2278.1421325409597,0.2305159165751921,0.13626666051665853,2353407.4348732415,5764339.809215965,0.5452447889072194,0.07529239760572105,18
200,200,10,0,239,2000,0,0,0.029646772380745152,0.048735452091937005,1.7839696838485142,0.2937226442896197,0.12,,0.1497072525024414,0.056595866937523144,0.02724087175876368,0.036505987100456605,0.0021579823183395523,0.007096680260812064,0.06644605429045265,0.2871946073413242,0.0,0.0,0.0,0.0,8.333333333333334,0.13626685592618878,0.3431935202967875,22.41431007570734,18.807260316007074,0.0,0.0,1.0,0.0,0.10407842441447836,0.16386681313217547,0.05961674946770759,0.23685947275313357,0.0,0.0,240,0,240,0.0007823085360345829,2000,0.0,0,1217,0.0,0.14563106796116504,0.19462318798163236,1.0,0.0,0.23291170240132208,0.11048464447352621,4.40287897179818,2.2408308012280402,0.1462000841690686,0.013985842742795903,0.7045,0.366,0.5195173882185947,0.06684468890466051,0.1846673239814355,0.2488506320876455,0.2109664824612588,0.06644605429045267,0.07041288535317777,13.584019089902995,0.3016235848157029,20
200,200,10,0,46,2000,0,47,0.025584236504248244,0.03696630695458948,3.584956726082243,1.795561255245292e-15,0.0235,0.0,460.3433125,57.50362537206075,0.2577673468649649,0.21297227886581258,386.5446035561373,828.008936077796,2910.438618655445,7370.016572640176,76.10954922235662,100.61616211231592,59.27453675011991,97.41204915429475,42.5531914893617,56.50728719276595,51.86985380620136,0.7268303504961955,1.4168759180277448,40.98755702567891,37.670969851165694,221.22523790510638,207.45851057764443,88.63642941472713,105.16803471792882,83.48502914585106,103.68203413984314,13.034599618723405,49.82700295491813,47,0,0,0.1267345050878816,2000,0.0,47,40,,0.08333333333333333,0.00023591149457821424,208.190638286383,186.03906133132602,40.125452921755205,36.45073279651477,0.7896442267750822,0.48693065342941755,1.591106059069886e-06,2.895691464151629e-07,0.0235,0.0065,0.2765957446808511,84.67692958992872,104.00831986604496,0.1527777777777778,0.007899588949980042,2910.4386186554443,3886.029216633387,1.650520668090155,0.21247730088362668,22
700,300,2,0,19,1000,0,1,0.01748680646224063,0.0240130491555679,1.6539835401904466,0.8348399686737193,0.02,1.8571428571428572,71.8780625,8.71406660681003,0.06036152314504996,0.07807047665179559,23.01091711098855,621.9003183350391,162614.82668211055,1138270.8398705914,50.46030328077259,344.6026043721546,38.0356474783544,258.35848281981987,50.0,54.11734693877551,372.2686890247839,10.439848878906174,22.3500999816837,33.66107142857143,232.39242263653415,380.14285714285717,2631.4355951964058,68.30179591836736,467.13362185705586,48.704081632653065,331.2001207472504,5.653061224489796,35.74070451437231,20,3,13,0.006802721088435374,1000,0.0,7,34,0.5384615384615384,0.2150537634408602,0.2121544436198287,374.48979591836735,2595.7907363207664,58.43456420447707,403.13384850828464,2.0820779229909214,2.842685765675651,0.24926209865672716,0.1455995922440853,0.049,0.001,0.02040816326530612,52.316088435374155,356.282562979881,0.3423000987166831,0.19444535878033234,162614.8266821106,1138262.5109476277,3.2640288571413403,0.18119600719465798,31
500,268,2,0,7,768,0,3,0.028840438796475666,0.03211053699372291,2.958105757854844,0.34168940624694744,0.010416666666666666,0.0,374.9505208333333,17.268788108988737,0.17165678897092665,0.13243386555206998,109.35023488509577,266.0928737828407,1893.0594716960877,4682.5922519433525,3.9807001879224595,11.105207416322994,3.786169797298347,10.58269832128959,96.0,31.2728125,41.090233272933695,2.7345612250230227,2.913385829403486,15.6168744375,15.086466992445496,179.19,276.32481342486363,44.98579117838541,41.635276665409364,38.3590625,38.609856900646406,2.63475,7.420731803535283,8,0,0,0.03571428571428571,768,0.0,8,8,,0.11940298507462686,0.056051036078454505,176.55525,277.4951336879622,25.733742975451573,37.5055644506936,0.5271805558363709,1.321603237158665,0.015922964296627953,0.018549250712783114,0.010416666666666666,0.0026041666666666665,0.25,40.20920779220779,38.843545867894534,0.21071428571428572,0.06311678933261766,1893.0594716960932,4613.544969593338,0.5780190679561805,0.11967698510738203,37
463,5,10,0,7,1484,0,8,0.00872090637567168,0.010761836825095652,2.4198349137722843,1.5239420058176463,0.005390835579514825,0.0,727.8477088948787,47.68606304118989,0.08927313518065985,0.11745911038176113,0.0010782703832369473,0.0019403455948508283,0.010407774277617122,0.009108793978443044,0.24510121173336774,0.2621021960924396,0.2393417986058381,0.25613938894363075,185.5,0.08625,0.06696214282285604,28.517842925653746,46.13597267869401,0.05745074999999999,0.05341917637421976,0.9450000000000001,0.10528871870107588,0.3811969339622642,0.1839192373364272,0.3675,0.19521050908478993,0.11875,0.17332360320675147,8,1,0,0.03571428571428571,1484,0.0,8,8,,0.12307692307692308,0.16736537366689092,0.8262499999999999,0.16185862437854304,0.09666403434721249,0.03486854892860246,2.906941484070356,4.660584050454403,0.1150993173930919,0.19118252997541488,0.005390835579514825,0.0047169811320754715,0.875,0.37107903587443947,0.1912986749194283,0.2231543624161074,0.19772862084617307,0.010407774277617127,0.006680191674162724,0.4044548786227525,0.12661098176191862,181
1215,57,3,0,15,1340,20,14,0.10485958133075236,0.13681362555595847,3.1528072494325103,0.8826326962432675,0.011940298507462687,0.06666666666666667,inf,,,,,,,,,,,,83.75,,,,,,,,,,,,,,,16,0,1,0.26406926406926406,1340,1.0,15,20,15.0,0.1,0.0764564517090045,,,,,,,0.01460488967651313,0.036832955551290694,0.016417910447761194,,,408.8642542401629,959.345410909852,0.18078339471041177,0.09108524152874242,,,,,185
25820,13546,2,0,8,39366,0,9,0.12380009303243715,0.0726406321681189,2.55304742183577,0.860263769415521,0.00022862368541380886,0.0,,,0.5252422191077093,0.14415807868372302,4.145373915170369,1.8388929569237766,7.832415095541339,13.892319166177067,,,,,4374.0,2.9059392500000003,1.4655823355327695,1.6358091363089082,4.11638599164831,0.4618295705333334,0.941721569963549,12.304476666666666,1.2844623417684342,3.1286446768700573,0.7361705844413744,1.6666666666666667,1.1180339887498947,0.771111,0.3702142659460869,9,0,0,0.6944444444444444,39366,0.0,9,8,,0.07086614173228346,0.13768668025472486,11.533365666666667,1.3686863257108073,2.748795923916369,0.5577661447489499,1.4710187561714194,0.8288316671143074,8.001764758155113e-05,8.896503347699902e-05,0.00022862368541380886,0.00017781842198851802,0.7777777777777778,2.2127053482877037,0.841059083187015,0.13372999008358125,0.17721611866332385,7.8324150955420055,2.9582163222629783,,,251
